,adjClose,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
525,122.03,-0.44,-0.0031541,-0.31541,139.06,2021-05-07,139.71,"May 07, 21",138.21,139.5,7325661,7325661,139.0
526,122.63,0.35,0.0025109,0.25109,139.74,2021-05-10,141.85,"May 10, 21",139.39,139.39,7304636,7304636,140.33
527,120.99,-0.73,-0.0052666,-0.52666,137.88,2021-05-11,138.8,"May 11, 21",136.62,138.61,7454214,7454214,137.77
528,118.54,-2.42,-0.0176,-1.76,135.09,2021-05-12,137.81,"May 12, 21",134.93,137.51,6233742,6233742,135.94
529,120.95,2.6,0.0192,1.92,137.83,2021-05-13,138.53,"May 13, 21",135.07,135.23,4807207,4807207,137.14
530,121.38,-0.41,-0.0029554,-0.29554,138.32,2021-05-14,139.28,"May 14, 21",137.63,138.73,2873780,2873780,138.41
531,121.74,0.64,0.0046347,0.46347,138.73,2021-05-17,139.39,"May 17, 21",137.98,138.09,4471755,4471755,138.7
532,120.73,-0.83,-0.0059967,-0.59967,137.58,2021-05-18,138.91,"May 18, 21",136.93,138.41,4000009,4000009,137.81
533,120.13,0.83,0.0061002,0.61002,136.89,2021-05-19,136.9,"May 19, 21",134.72,136.06,4498532,4498532,136.17
534,120.71,0.72,0.005262,0.5262,137.55,2021-05-20,138.54,"May 20, 21",135.91,136.83,4301675,4301675,137.33
535,121.43,0.44,0.00319,0.319,138.37,2021-05-21,139.29,"May 21, 21",137.93,137.93,4219041,4219041,138.53
536,121.41,-0.32,-0.0023075,-0.23075,138.36,2021-05-24,139.0,"May 24, 21",137.84,138.68,3449290,3449290,138.4
537,120.63,-1.08,-0.007795,-0.7795,137.47,2021-05-25,138.62,"May 25, 21",136.9,138.55,4118311,4118311,137.66
538,120.29,-0.12,-0.0008746993,-0.08746993,137.07,2021-05-26,137.66,"May 26, 21",136.75,137.19,3225655,3225655,137.16
539,120.66,0.0,0.0,0.0,137.5,2021-05-27,138.4,"May 27, 21",137.31,137.5,5889294,5889294,137.74
540,120.59,-0.45,-0.0032639,-0.32639,137.42,2021-05-28,137.98,"May 28, 21",137.18,137.87,2651192,2651192,137.53
541,120.97,-0.77,-0.0055548,-0.55548,137.85,2021-06-01,139.42,"June 01, 21",137.43,138.62,2528705,2528705,138.23
542,122.25,1.05,0.0075944,0.75944,139.31,2021-06-02,139.34,"June 02, 21",137.77,138.26,2915097,2915097,138.81
543,122.11,0.61,0.0044031,0.44031,139.15,2021-06-03,139.46,"June 03, 21",137.71,138.54,4320608,4320608,138.77
544,123.68,1.36,0.0097435,0.97435,140.94,2021-06-04,141.06,"June 04, 21",139.35,139.58,3261323,3261323,140.45
545,124.18,0.45,0.0031901,0.31901,141.51,2021-06-07,142.2,"June 07, 21",140.7,141.06,3621984,3621984,141.47
546,125.06,0.9,0.0063555,0.63555,142.51,2021-06-08,143.59,"June 08, 21",141.61,141.61,5313785,5313785,142.57
547,126.4,1.56,0.0109,1.09,144.04,2021-06-09,144.43,"June 09, 21",142.28,142.48,5547252,5547252,143.58
548,126.29,-0.89,-0.006146,-0.6146,143.92,2021-06-10,146.12,"June 10, 21",143.17,144.81,4977391,4977391,144.4
549,126.91,0.82,0.005702,0.5702,144.63,2021-06-11,145.17,"June 11, 21",143.76,143.81,3596462,3596462,144.52
550,125.86,-0.65,-0.0045114,-0.45114,143.43,2021-06-14,144.39,"June 14, 21",142.12,144.08,3498661,3498661,143.31
551,125.3,-0.47,-0.0032807,-0.32807,142.79,2021-06-15,143.32,"June 15, 21",142.07,143.26,2628912,2628912,142.72
552,124.02,-1.84,-0.0129,-1.29,141.33,2021-06-16,143.17,"June 16, 21",140.75,143.17,4057329,4057329,141.75
553,122.15,-1.86,-0.0132,-1.32,139.2,2021-06-17,141.55,"June 17, 21",138.89,141.06,4568300,4568300,139.88
554,120.07,-1.3,-0.0094114,-0.94114,136.83,2021-06-18,138.32,"June 18, 21",136.75,138.13,9577699,9577699,137.3
555,123.03,2.43,0.0176,1.76,140.2,2021-06-21,140.6,"June 21, 21",137.72,137.77,4482633,4482633,139.51
556,122.79,-0.16,-0.0011422,-0.11422,139.92,2021-06-22,140.35,"June 22, 21",138.96,140.08,2549102,2549102,139.75
